run,seqs,token_budget,attempted,succeeded,errors,wall_s,output_tokens_s,requests_s,goodput_rps,good_requests,ttft_slo_s,e2e_slo_s,p50_ttft_s,p95_ttft_s,p99_ttft_s,p50_tpot_s,p95_tpot_s,p99_tpot_s,p50_e2e_s,p95_e2e_s,p99_e2e_s,p50_dispatch_lateness_s,p95_dispatch_lateness_s,p99_dispatch_lateness_s,measured_start_unix,measured_end_unix,gpu_samples,gpu_mean_pct,gpu_peak_pct,kv_peak_fraction,preemptions
budget-s8-t2048/seed-17,8,2048,64,64,0,31.814827527850866,257.490001881314,2.0116406396977657,2.0116406396977657,64,1,10,0.05794412549585104,0.08018680009990929,0.16074539430439422,0.01654278586699268,0.016893706109198766,0.016904000912418986,2.1636597625911236,2.2084263890981672,2.288958005942404,0.0005827797576785088,0.001343294326215981,0.0025630467571318106,1789343727.8339076,1789343759.648736,31,100.0,100.0,0.031002029894814487,0.0
budget-s8-t8192/seed-17,8,8192,64,64,0,31.824169162660837,257.41441852350505,2.011050144714883,2.011050144714883,64,1,10,0.05713940132409334,0.08287752885371445,0.15063147433102086,0.016543288861848707,0.016890634101353528,0.016945478246349285,2.1620566165074706,2.2058872686699034,2.272386534493416,0.0005776910111308098,0.005448283255100226,0.016167063117027244,1789344015.59093,1789344047.4151,31,100.0,100.0,0.031936877700544763,0.0
formal-baseline/seed-101,1,4096,128,39,89,127.27024696581066,39.223621537726956,0.30643454326349184,0.007857295981115175,1,1,10,29.653446704149246,53.79542749207467,56.165734479427336,0.015677652739751056,0.015680056706246896,0.015780849108897797,31.645018443465233,55.78689491562545,58.17016020156443,0.0005578529089689255,0.0014291116967797284,0.0017280393093824387,1789344385.487645,1789344512.7578928,123,99.60975609756098,100.0,0.0036182722749886764,0.0
formal-baseline/seed-102,1,4096,128,39,89,121.70006636157632,41.018876564689336,0.32045997316163544,0.008216922388759883,1,1,10,29.902403574436903,56.56573005896062,57.35829282917082,0.01567858812494541,0.015680059327149956,0.015680369816896484,31.893741378560662,58.55728257037699,59.34953896448016,0.0004918351769447327,0.0020680025219917304,0.004317226707935326,1789344561.8201263,1789344683.5201938,118,99.79661016949153,100.0,0.0036182722749886764,0.0
formal-baseline/seed-103,1,4096,128,36,92,111.97200715355575,41.1531428000634,0.3215089281254953,0.008930803559041536,1,1,10,32.60404200013727,55.905455416534096,57.38722410500049,0.01567832328467153,0.015680379699915648,0.015681555610531427,34.595411740243435,57.89711286313832,59.37866633078083,0.0006501460447907448,0.0011038645170629025,0.0015588889829814428,1789344732.7457812,1789344844.71779,108,99.81481481481481,100.0,0.0036182722749886764,0.0
formal-reference128/seed-101,128,4096,128,128,0,69.36078633926809,236.21416170024477,1.8454231382831623,1.8454231382831623,128,1,10,0.056961760856211185,0.07087423307821153,0.08316777152940631,0.01643541815331367,0.016893666550722414,0.017064209960430392,2.147536155767739,2.204489394277334,2.2456783981435002,0.000720110721886158,0.0018541154451668254,0.005395732205361131,1789345541.4352458,1789345610.7960336,67,100.0,100.0,0.034414945919370665,0.0
formal-reference128/seed-102,128,4096,128,128,0,63.790982929989696,256.8388077352776,2.0065531854318563,2.0065531854318563,128,1,10,0.0564489858224988,0.0728130961768329,0.08134448846802116,0.016542195892474784,0.016975819266687227,0.017206804170969904,2.16160901915282,2.212482934910804,2.2495737138763072,0.0006728200241923332,0.0014819451607763767,0.0018859149143099787,1789345618.0709724,1789345681.8619568,62,98.38709677419355,100.0,0.03343166175024581,0.0
formal-reference128/seed-103,128,4096,128,128,0,54.056470081210136,303.09045291684754,2.3678941634128714,2.3678941634128714,128,1,10,0.05823906138539314,0.07618146147578955,0.08193998498842121,0.016617661070694605,0.018102777505836148,0.018409852081777776,2.1738501330837607,2.3541492794640364,2.4212479078769684,0.0007437784224748611,0.00187426945194602,0.0019952469877898694,1789345689.1612132,1789345743.2176847,53,98.11320754716981,100.0,0.06253687315634215,0.0
formal-selected/seed-101,8,2048,128,128,0,69.36865754984319,236.18735865297188,1.8452137394763428,1.8452137394763428,128,1,10,0.05839424952864647,0.07743030888959765,0.39058658303692995,0.01644879724009065,0.016895896929690218,0.016970642278425572,2.1518564336001873,2.214942329097539,2.4959933213330814,0.0005904175341129303,0.0016345190815627573,0.0019533149152994155,1789345088.2276304,1789345157.596289,67,100.0,100.0,0.02135041366426471,0.0
formal-selected/seed-102,8,2048,128,128,0,63.772519228979945,256.9131688395755,2.0071341315591837,2.0071341315591837,128,1,10,0.05889605451375246,0.07604822022840381,0.5427464701794092,0.016562899002644023,0.0169452287975376,0.016970096438917823,2.1711751855909824,2.2194234200753273,2.5989150397293272,0.0006670458242297173,0.0016324543394148348,0.002038927208632231,1789345164.9771864,1789345228.7497075,62,100.0,100.0,0.022151054176674623,0.0
formal-selected/seed-103,8,2048,128,128,0,54.05026195012033,303.12526542646157,2.368166136144231,2.146150560880709,116,1,10,0.06041187047958374,1.4640191197395322,2.2214388065971438,0.016668909727999073,0.017017311634363857,0.017020245968826175,2.1853498816490173,3.6258079619146883,4.356203876100481,0.0007085464894771576,0.0016639892011880873,0.003964459523558627,1789345236.0726821,1789345290.1229458,53,98.11320754716981,100.0,0.02255137443287969,0.0
screen-s1-rerun/seed-17,1,4096,64,45,19,90.82977551221848,63.41532793092901,0.4954322494603829,0.011009605543564064,1,1,10,34.638463988900185,59.72467754371464,59.91768626943231,0.01567574675510249,0.015679414834328526,0.015681382831274054,36.625802751630545,61.71591686196625,61.90939607456327,0.0005941446870565414,0.001865326613187789,0.0022685591876506817,1789342088.4119399,1789342179.2417164,87,99.86206896551724,100.0,0.0036182722749886764,0.0
screen-s16-t4096/seed-17,16,4096,64,64,0,31.816326109692454,257.47787383611234,2.0115458893446276,2.0115458893446276,64,1,10,0.05939794052392244,0.07512750308960674,0.07904851300641894,0.01652964567545596,0.016902472350130402,0.01695099017736832,2.1617093086242676,2.2077085726894436,2.213945340104401,0.00044947024434804916,0.0016541573219001277,0.002645044215023513,1789342746.8174114,1789342778.6337385,31,100.0,100.0,0.02937895128300483,0.0
screen-s32-t4096/seed-17,32,4096,64,64,0,31.8349738586694,257.3270528308956,2.0103676002413717,2.0103676002413717,64,1,10,0.060732739977538586,0.07187148137018083,0.07916060769930482,0.016528996924950384,0.01689837810209417,0.01692919752685221,2.164547063410282,2.207740754354745,2.2143995101377367,0.0005400283262133598,0.0014778126031160341,0.00325879093259572,1789343050.9215667,1789343082.756542,31,100.0,100.0,0.024076061953688055,0.0
screen-s64-t4096/seed-17,64,4096,64,64,0,31.81322124786675,257.5030027979112,2.0117422093586814,2.0117422093586814,64,1,10,0.05988015327602625,0.07609709640964865,0.09765781627967943,0.01652895461210585,0.016882286426119917,0.01694469675172384,2.163999278098345,2.204291378054768,2.222738282121718,0.0005461843684315681,0.002016954775899649,0.008995917569845887,1789343330.9419022,1789343362.7551243,31,100.0,100.0,0.024616813748258193,0.0
screen-s8-t4096/seed-17,8,4096,64,64,0,31.818634619936347,257.4591932636608,2.01139994737235,2.01139994737235,64,1,10,0.058121608570218086,0.07842082679271696,0.14742261016741348,0.01653857862826173,0.016860354433613497,0.01689325616438323,2.1638473300263286,2.202943405415863,2.27568496517837,0.0007300684228539467,0.0017545985989272591,0.002468403037637469,1789342472.625451,1789342504.4440868,31,98.93548387096774,100.0,0.029144236124002187,0.0
